Player,Team,threep,threes
Pat Connaughton,Trail Blazers,0.515,45.83
Miles Plumlee,Hornets,0,0
Mike Scott,Hawks,0.148,46.55
Raul Neto,Jazz,0.345,31.52
Bobby Brown,Rockets,0.4,58.33
DeAndre Liggins,Mavericks,0.386,30.99
James Young,Celtics,0.324,59.65
Chris Andersen,Cavaliers,0,13.64
Greivis Vasquez,Nets,0.333,37.5
Metta World Peace,Lakers,0.243,54.41
Chris McCullough,Wizards,0.143,21.88
Jake Layman,Trail Blazers,0.26,56.18
AJ Hammons,Mavericks,0.5,23.81
Treveon Graham,Hornets,0.6,37.5
Rakeem Christmas,Pacers,0,0
Joe Young,Pacers,0.227,30.56
Demetrius Jackson,Celtics,1,25
Manny Harris,Mavericks,0,13.33
Gary Neal,Hawks,0,28.57
Tim Quarterman,Trail Blazers,0.455,40.74
Damian Jones,Warriors,0,0
Marshall Plumlee,Knicks,0,0
Joel Bolomboy,Jazz,0.25,25
Damjan Rudez,Magic,0.313,72.73
Udonis Haslem,Heat,0,13.04
Lamar Patterson,Hawks,0.167,40
John Jenkins,Suns,0.5,40
Jordan Hill,Timberwolves,0,0
Cole Aldrich,Timberwolves,0,0
Nick Collison,Thunder,0,4.35
Deyonta Davis,Grizzlies,0,0
Bruno Caboclo,Raptors,0.333,37.5
Ryan Kelly,Hawks,0.4,35.71
Jordan Mickey,Celtics,0,2.94
Jarnell Stokes,Nuggets,0,0
Elijah Millsap,Suns,0,28.57
Diamond Stone,Clippers,0,0
Mike Miller,Nuggets,0.4,86.96
Brice Johnson,Clippers,0,0
Joel Anthony,Spurs,0,0
Anderson Varejao,Warriors,0,0
Daniel Ochefu,Wizards,0,0
Stephen Zimmerman,Magic,0,0
Ronnie Price,Suns,0.176,70.83
Mike Tobey,Hornets,0,0
CJ Wilcox,Magic,0.2,48.39
Kyle Wiltjer,Rockets,0.308,92.86
Georges Niang,Pacers,0.083,33.33
Alonzo Gee,Nuggets,0,23.08
Larry Sanders,Cavaliers,0,0
Isaiah Taylor,Rockets,0,28.57
Steve Novak,Bucks,0.167,85.71
Arinze Onuaku,Magic,0,0
Michael Gbinije,Pistons,0,40
John Lucas III,Timberwolves,0,25
Aaron Harrison,Hornets,0,50
Patricio Garino,Magic,0,71.43
Danuel House,Wizards,0,0
Ben Bentil,Mavericks,0,33.33
RJ Hunter,Bulls,0,100
